"Año-Mes","Ejercicio","Mes","Código","Nombre Cuenta","Naturaleza","Saldo Anterior","Saldo Final","Δ Saldos","Mov Cargo","Mov Abono","Mov Neto","Diferencia","Abs Diff","Categoría","Pólizas relacionadas"
"2025-12","2025","12","330000300000000000002","EJERCICIO 2025","acreedora","0.00","0.00","0.00","474935.98","0.00","-474935.98","474935.98","474935.98","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31"
"2026-01","2026","1","330000300000000000002","EJERCICIO 2025","acreedora","0.00","-474935.98","-474935.98","0.00","0.00","0.00","-474935.98","474935.98","Cierre ejercicio (Dic/Ene)",""
"2023-12","2023","12","620000100000000000002","SUELDOS Y SALARIOS","deudora","328205.05","409875.18","81670.13","81670.13","409875.18","-328205.05","409875.18","409875.18","Cierre ejercicio (Dic/Ene)","diario#100001 2023-12-01 | diario#100007 2023-12-08 | diario#100016 2023-12-15 | diario#100029 2023-12-22 | diario#100041 2023-12-29 | diario#2 2023-12-31"
"2024-01","2024","1","620000100000000000002","SUELDOS Y SALARIOS","deudora","409875.18","0.00","-409875.18","0.00","0.00","0.00","-409875.18","409875.18","Cierre ejercicio (Dic/Ene)",""
"2024-01","2024","1","112000100100000000003","BANORTE CTA.1226811847","deudora","5821.30","39771.51","33950.21","249689.45","524478.33","-274788.88","308739.09","308739.09","Cierre ejercicio (Dic/Ene)","diario#100001 2024-01-04 | diario#100002 2024-01-08 | diario#100004 2024-01-09 | diario#100005 2024-01-09 | diario#100006 2024-01-09 | diario#100007 2024-01-09 | diario#100008 2024-01-09 | diario#100009 2024-01-09 | diario#100010 2024-01-09 | diario#100011 2024-01-10 | diario#100012 2024-01-11 | diario#100013 2024-01-12 | diario#100015 2024-01-15 | diario#100016 2024-01-16 | diario#100018 2024-01-17 | diario#100019 2024-01-17 | diario#1 2024-01-02 | diario#100021 2024-01-19 | diario#100022 2024-01-19 | diario#100024 2024-01-22 | diario#100025 2024-01-22 | diario#100026 2024-01-22 | diario#100027 2024-01-22 | diario#100028 2024-01-22 | diario#100029 2024-01-22 | diario#100030 2024-01-22 | diario#100031 2024-01-22 | diario#100003 2024-01-08 | diario#100014 2024-01-15 | diario#100023 2024-01-22 | diario#2 2024-01-03 | diario#4 2024-01-05 | diario#5 2024-01-08 | diario#6 2024-01-09 | diario#7 2024-01-10 | diario#8 2024-01-11 | diario#9 2024-01-12 | diario#10 2024-01-15 | diario#11 2024-01-16 | diario#12 2024-01-18 | diario#13 2024-01-19 | diario#14 2024-01-22 | diario#15 2024-01-23 | diario#16 2024-01-24 | diario#17 2024-01-25 | diario#100032 2024-01-26 | diario#100034 2024-01-29 | diario#100035 2024-01-30 | diario#100036 2024-01-30 | diario#100038 2024-01-30 | diario#100039 2024-01-30 | diario#100040 2024-01-30 | diario#100041 2024-01-30 | diario#100042 2024-01-31 | diario#100017 2024-01-16 | diario#100020 2024-01-18 | diario#100033 2024-01-29 | diario#100037 2024-01-30 | diario#3 2024-01-04 | diario#18 2024-01-26 | diario#20 2024-01-30 | diario#22 2024-01-31 | diario#19 2024-01-29 | diario#100043 2024-01-31"
"2025-12","2025","12","610001700000000000002","CUOTA I.M.S.S.","deudora","252625.77","278428.39","25802.62","25802.62","278428.39","-252625.77","278428.39","278428.39","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31 | diario#54 2025-12-31"
"2026-01","2026","1","610001700000000000002","CUOTA I.M.S.S.","deudora","278428.39","29998.61","-248429.78","29998.61","0.00","29998.61","-278428.39","278428.39","Cierre ejercicio (Dic/Ene)","diario#48 2026-01-31"
"2024-12","2024","12","610001700000000000002","CUOTA I.M.S.S.","deudora","182156.75","200962.69","18805.94","18805.94","200962.69","-182156.75","200962.69","200962.69","Cierre ejercicio (Dic/Ene)","diario#49 2024-12-31 | diario#4 2024-12-31"
"2025-01","2025","1","610001700000000000002","CUOTA I.M.S.S.","deudora","200962.69","21553.30","-179409.39","21553.30","0.00","21553.30","-200962.69","200962.69","Cierre ejercicio (Dic/Ene)","diario#48 2025-01-30"
"2023-12","2023","12","112000100100000000003","BANORTE CTA.1226811847","deudora","34329.55","5821.30","-28508.25","381321.92","594431.67","-213109.75","184601.50","184601.50","Cierre ejercicio (Dic/Ene)","diario#100001 2023-12-01 | diario#100002 2023-12-04 | diario#100003 2023-12-04 | diario#100004 2023-12-05 | diario#100005 2023-12-05 | diario#100006 2023-12-08 | diario#100009 2023-12-11 | diario#100010 2023-12-13 | diario#100008 2023-12-08 | diario#100011 2023-12-13 | diario#100012 2023-12-13 | diario#100013 2023-12-13 | diario#100014 2023-12-13 | diario#100015 2023-12-15 | diario#100018 2023-12-19 | diario#100017 2023-12-19 | diario#100019 2023-12-19 | diario#100020 2023-12-19 | diario#100021 2023-12-19 | diario#100022 2023-12-19 | diario#100023 2023-12-19 | diario#100024 2023-12-20 | diario#100025 2023-12-20 | diario#100026 2023-12-20 | diario#100007 2023-12-08 | diario#2 2023-12-04 | diario#3 2023-12-05 | diario#4 2023-12-06 | diario#5 2023-12-08 | diario#6 2023-12-11 | diario#7 2023-12-13 | diario#8 2023-12-14 | diario#9 2023-12-15 | diario#10 2023-12-15 | diario#11 2023-12-18 | diario#100016 2023-12-15 | diario#100029 2023-12-22 | diario#100041 2023-12-29 | diario#100027 2023-12-22 | diario#100028 2023-12-22 | diario#100030 2023-12-27 | diario#100031 2023-12-27 | diario#100032 2023-12-27 | diario#100033 2023-12-27 | diario#100034 2023-12-27 | diario#100035 2023-12-27 | diario#100036 2023-12-27 | diario#100037 2023-12-27 | diario#100038 2023-12-28 | diario#100042 2023-12-28 | diario#100043 2023-12-29 | diario#100044 2023-12-30 | diario#100045 2023-12-30 | egreso#100001 2023-12-30 | diario#16 2023-12-19 | diario#17 2023-12-21 | diario#18 2023-12-22 | diario#19 2023-12-23 | diario#20 2023-12-16 | diario#21 2023-12-25 | diario#22 2023-12-27 | diario#23 2023-12-28 | diario#24 2023-12-29 | diario#25 2023-12-30"
